Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
1.000000	0.428100	0.208700	0.124800	0.120000	
2.000000	0.537600	0.222900	0.111000	0.120700	
3.000000	0.636200	0.251300	0.102100	0.117000	
4.000000	0.674200	0.253300	0.088400	0.098600	
5.000000	0.651000	0.276700	0.099800	0.109600	
6.000000	0.702200	0.267500	0.089400	0.097700	
7.000000	0.599500	0.283700	0.137200	0.147700	
8.000000	0.745700	0.342500	0.127500	0.141000	
9.000000	0.729800	0.340800	0.126900	0.139200	
10.000000	0.778300	0.374400	0.157300	0.164900	
11.000000	0.780700	0.344200	0.128400	0.140900	
12.000000	0.757800	0.352600	0.140500	0.152500	
13.000000	0.764500	0.387700	0.166400	0.182400	
14.000000	0.770000	0.356600	0.139300	0.151400	
15.000000	0.777800	0.377800	0.152700	0.166100	
16.000000	0.693000	0.297200	0.114400	0.124700	
17.000000	0.785900	0.369900	0.149000	0.160000	
18.000000	0.810600	0.405900	0.158700	0.167300	
19.000000	0.777100	0.357200	0.151100	0.161100	
20.000000	0.796300	0.363800	0.138200	0.144200	
21.000000	0.644400	0.236600	0.080300	0.084200	
22.000000	0.826400	0.406200	0.151500	0.167600	
23.000000	0.785000	0.394700	0.175200	0.183500	
24.000000	0.806400	0.396500	0.155800	0.161300	
25.000000	0.780400	0.375700	0.123500	0.133800	
26.000000	0.824100	0.411700	0.146700	0.159700	
27.000000	0.829000	0.385400	0.128500	0.139900	
28.000000	0.796700	0.370000	0.136300	0.142700	
29.000000	0.796100	0.394200	0.155400	0.164200	
30.000000	0.818500	0.420600	0.148900	0.159200	
31.000000	0.786800	0.401400	0.175300	0.187200	
32.000000	0.827700	0.396800	0.143900	0.154200	
33.000000	0.832500	0.401600	0.146400	0.153400	
34.000000	0.773900	0.394900	0.152900	0.162700	
35.000000	0.783800	0.375700	0.142400	0.154900	
36.000000	0.835100	0.419400	0.156800	0.167200	
37.000000	0.839900	0.435200	0.171500	0.181100	
38.000000	0.767400	0.336400	0.117700	0.117900	
39.000000	0.800300	0.361700	0.133900	0.135700	
40.000000	0.821600	0.386400	0.144200	0.152400	
41.000000	0.694200	0.255300	0.074800	0.077300	
42.000000	0.824400	0.390700	0.136900	0.140600	
43.000000	0.816700	0.406600	0.156400	0.165900	
44.000000	0.855700	0.407000	0.134400	0.134500	
45.000000	0.827000	0.392400	0.140500	0.145600	
46.000000	0.717800	0.297200	0.111300	0.118500	
47.000000	0.749200	0.329300	0.102600	0.112500	
48.000000	0.790400	0.329000	0.109200	0.104400	
49.000000	0.823200	0.350300	0.109300	0.108000	
50.000000	0.803000	0.370600	0.127300	0.130600	
51.000000	0.832900	0.454300	0.198000	0.213500	
52.000000	0.835100	0.452000	0.217800	0.225700	
53.000000	0.838600	0.467100	0.215900	0.224400	
54.000000	0.818300	0.448200	0.215800	0.226800	
55.000000	0.823500	0.455500	0.218700	0.227400	
56.000000	0.840000	0.459100	0.209900	0.219200	
57.000000	0.795400	0.433300	0.203500	0.212600	
58.000000	0.819500	0.419600	0.177200	0.186300	
59.000000	0.812800	0.438500	0.212100	0.217500	
60.000000	0.873500	0.527800	0.269600	0.281700	
61.000000	0.874800	0.531300	0.271800	0.285700	
62.000000	0.877000	0.534700	0.270200	0.285100	
63.000000	0.877000	0.535800	0.269700	0.280400	
64.000000	0.878500	0.535100	0.273000	0.285300	
65.000000	0.881800	0.531500	0.269500	0.278500	
66.000000	0.880500	0.533300	0.277000	0.287200	
67.000000	0.879500	0.533000	0.266000	0.273000	
68.000000	0.883700	0.531200	0.267700	0.277900	
69.000000	0.882600	0.534000	0.267900	0.276000	
70.000000	0.880000	0.534400	0.268400	0.279200	
71.000000	0.882400	0.533000	0.266400	0.276800	
72.000000	0.879900	0.526300	0.268900	0.277400	
73.000000	0.882300	0.527800	0.265000	0.271600	
74.000000	0.880900	0.529700	0.267500	0.278500	
75.000000	0.879200	0.534000	0.273700	0.286000	
76.000000	0.881200	0.533200	0.263900	0.275900	
77.000000	0.880100	0.531600	0.264600	0.275300	
78.000000	0.878600	0.531600	0.265300	0.274800	
79.000000	0.882700	0.527200	0.263600	0.272700	
80.000000	0.879400	0.533100	0.270800	0.282500	
81.000000	0.881600	0.534900	0.265500	0.274900	
82.000000	0.879200	0.535100	0.263300	0.275300	
83.000000	0.884700	0.532500	0.266400	0.272900	
84.000000	0.881200	0.531900	0.267300	0.279700	
85.000000	0.876500	0.523700	0.265300	0.275300	
86.000000	0.885300	0.526000	0.262100	0.272200	
87.000000	0.881400	0.533400	0.261800	0.272400	
88.000000	0.879500	0.523500	0.259400	0.270700	
89.000000	0.879700	0.533000	0.266300	0.277600	
90.000000	0.880500	0.537200	0.267800	0.280400	
91.000000	0.881200	0.541900	0.269500	0.281400	
92.000000	0.883100	0.542200	0.269800	0.280400	
93.000000	0.881900	0.541200	0.270100	0.282400	
94.000000	0.881300	0.543600	0.272500	0.282400	
95.000000	0.881700	0.542300	0.270500	0.280200	
96.000000	0.883200	0.542700	0.267300	0.278300	
97.000000	0.881300	0.541200	0.271700	0.282300	
98.000000	0.880000	0.542100	0.272000	0.280800	
99.000000	0.882400	0.542200	0.273300	0.284100	
100.000000	0.879700	0.544700	0.272200	0.284100	
101.000000	0.879400	0.541800	0.271000	0.279800	
102.000000	0.882000	0.540400	0.268800	0.279400	
103.000000	0.879900	0.541500	0.270900	0.281300	
104.000000	0.879900	0.542100	0.272000	0.281000	
105.000000	0.883100	0.542000	0.270600	0.280300	
