Epoch: [1 | 120] | Train Time: 46.00 s | BP Average: 1.51 | Natural Test Acc 0.34 | FGSM Test Acc 0.17 | PGD20 Test Acc 0.12 | CW Test Acc 0.12 |

Epoch: [2 | 120] | Train Time: 50.00 s | BP Average: 2.27 | Natural Test Acc 0.47 | FGSM Test Acc 0.22 | PGD20 Test Acc 0.12 | CW Test Acc 0.14 |

Epoch: [3 | 120] | Train Time: 52.00 s | BP Average: 2.87 | Natural Test Acc 0.54 | FGSM Test Acc 0.26 | PGD20 Test Acc 0.15 | CW Test Acc 0.15 |

Epoch: [4 | 120] | Train Time: 55.00 s | BP Average: 3.23 | Natural Test Acc 0.62 | FGSM Test Acc 0.26 | PGD20 Test Acc 0.11 | CW Test Acc 0.13 |

Epoch: [5 | 120] | Train Time: 55.00 s | BP Average: 3.43 | Natural Test Acc 0.62 | FGSM Test Acc 0.29 | PGD20 Test Acc 0.14 | CW Test Acc 0.16 |

Epoch: [6 | 120] | Train Time: 57.00 s | BP Average: 3.67 | Natural Test Acc 0.63 | FGSM Test Acc 0.31 | PGD20 Test Acc 0.16 | CW Test Acc 0.18 |

Epoch: [7 | 120] | Train Time: 59.00 s | BP Average: 3.79 | Natural Test Acc 0.69 | FGSM Test Acc 0.34 | PGD20 Test Acc 0.16 | CW Test Acc 0.18 |

Epoch: [8 | 120] | Train Time: 58.00 s | BP Average: 3.84 | Natural Test Acc 0.72 | FGSM Test Acc 0.33 | PGD20 Test Acc 0.13 | CW Test Acc 0.14 |

Epoch: [9 | 120] | Train Time: 59.00 s | BP Average: 4.00 | Natural Test Acc 0.74 | FGSM Test Acc 0.36 | PGD20 Test Acc 0.16 | CW Test Acc 0.17 |

Epoch: [10 | 120] | Train Time: 62.00 s | BP Average: 4.27 | Natural Test Acc 0.70 | FGSM Test Acc 0.37 | PGD20 Test Acc 0.19 | CW Test Acc 0.21 |

Epoch: [11 | 120] | Train Time: 61.00 s | BP Average: 4.18 | Natural Test Acc 0.75 | FGSM Test Acc 0.38 | PGD20 Test Acc 0.19 | CW Test Acc 0.20 |

Epoch: [12 | 120] | Train Time: 61.00 s | BP Average: 4.15 | Natural Test Acc 0.77 | FGSM Test Acc 0.40 | PGD20 Test Acc 0.20 | CW Test Acc 0.21 |

Epoch: [13 | 120] | Train Time: 63.00 s | BP Average: 4.29 | Natural Test Acc 0.78 | FGSM Test Acc 0.41 | PGD20 Test Acc 0.20 | CW Test Acc 0.22 |

